n 10000, TimeSeries size 10000
0.221,0.334533
0.440,0.554457
-1.569,-1.40713
-1.235,-1.32197
1.108,0.473366
-0.955,-0.948067
-1.577,-1.57594
1.860,1.95378
-1.588,-1.59626
-0.044,-0.045586
1.733,1.78795
-0.094,-0.0905588
1.171,1.16059
-2.144,-2.20979
-0.442,-0.449289
1.356,1.62896
0.381,0.273821
0.537,0.738828
0.055,-0.0583737
-0.613,-0.612116
0.684,0.774541
-0.545,-0.0369106
-0.654,-0.485194
-0.734,-0.730135
0.302,0.351944
1.833,1.74961
0.634,0.705287
-0.908,-0.830615
-0.156,-0.292939
-1.240,-0.939548
0.302,0.0874206
-0.887,-0.861175
0.230,0.490882
0.377,0.285405
-1.821,-1.37051
-1.546,-1.54143
-1.357,-1.37898
0.169,0.159035
0.117,0.129579
-0.457,-0.456367
0.002,-0.160132
-1.713,-1.71062
-0.166,-0.200665
-1.398,-1.40409
0.533,0.635206
0.020,-0.242235
-1.470,-1.50316
-2.459,-2.13833
0.697,0.536041
1.216,1.17704
1.009,1.01765
0.787,0.779092
-1.185,-1.27511
-0.193,-0.132933
-0.058,-0.231424
0.430,0.557025
1.307,0.384634
-0.344,-0.32244
0.104,0.103977
-0.323,-0.457316
-1.807,-1.80898
-0.508,-0.583404
-0.769,-0.773048
0.103,0.112532
1.619,1.54884
0.045,-0.297751
0.716,0.26539
0.849,0.870234
0.038,-0.296339
-0.399,-0.437019
1.751,1.77656
0.628,0.661179
1.282,1.51568
-0.053,-0.23395
-0.235,-0.88239
-2.313,-2.25602
-0.197,-0.174037
-1.242,-1.24704
-1.712,-1.88733
-0.082,-0.0914236
-2.429,-2.34416
1.462,1.41706
-0.606,-0.572457
-1.802,-1.22621
-1.600,-1.48081
0.582,0.426412
0.963,1.16424
-0.326,-0.333511
-0.098,-0.647771
0.161,-0.172702
1.264,1.26349
-0.194,-0.188909
-0.109,-0.0476903
-0.536,-0.663992
1.167,1.14502
1.935,2.06545
-0.588,-0.59143
0.332,0.323187
0.251,0.0658036
0.191,0.2667
0.313,0.341344
0.694,0.533809
-0.989,-0.983811
0.192,-0.0400443
-0.634,-0.636537
-1.259,-1.25964
0.543,0.55945
0.072,0.170848
0.652,1.05196
0.281,-0.0696313
-0.723,-0.764109
-0.614,-0.00853946
-2.317,-2.38644
0.343,0.317749
0.790,0.779268
-0.675,-0.650984
1.246,1.24552
0.090,-0.152614
2.001,1.2525
-0.027,-0.247256
-0.784,-0.75788
-1.507,-1.50729
0.778,0.216292
1.543,1.59219
0.894,0.814796
-1.607,-1.65046
-0.225,-0.112331
-1.279,-1.27635
0.958,1.1123
-0.397,-0.258573
1.331,1.47613
0.274,0.264081
-1.762,-1.78634
-1.803,-1.75473
-0.056,0.348625
1.720,1.78863
0.043,-0.0253362
-0.231,-0.289387
0.581,0.545144
1.631,1.96803
-0.333,-0.392252
-0.035,0.406184
0.402,0.389724
-2.688,-2.72949
1.076,0.996673
-0.036,0.159367
-0.062,-0.0674291
0.748,0.748467
-0.216,-0.483069
0.207,0.113689
1.218,1.24121
1.163,1.15192
1.177,1.31513
0.386,0.370419
-0.646,-0.691109
-3.359,-3.1795
1.251,2.03867
1.020,1.0782
-0.628,-0.630419
1.423,1.46728
-0.375,-0.361634
0.507,0.416341
-0.371,-0.410175
1.127,1.17675
-0.049,-0.0918737
0.175,0.125378
0.133,0.108917
-0.122,0.12509
1.074,1.05948
-0.240,-0.282826
-0.958,-0.956829
-0.435,-0.434238
-0.352,-0.390698
1.464,1.44663
-0.286,-0.683939
-0.489,-0.434753
-0.456,-0.255975
-1.298,-1.37006
-0.001,0.090124
1.126,0.844869
-0.772,-0.403515
0.181,0.042801
1.344,1.02239
0.889,0.902328
0.630,0.536101
-0.074,0.2117
0.162,0.460537
-0.196,-0.201007
-0.147,0.404818
1.905,1.90542
-1.248,-1.1718
-0.015,0.00417915
-0.656,-0.677665
-0.687,-0.685316
0.274,0.933795
1.701,1.63347
-1.815,-1.76824
-0.655,-0.63182
1.358,1.15212
-0.642,-0.702511
0.656,0.577369
0.707,0.668099
1.285,1.31012
-0.948,-0.999286
0.172,0.193834
-3.326,-3.32784
-0.030,0.061079
-1.678,-1.64702
-0.665,-0.615306
-0.511,-0.761521
-1.630,-1.65899
-1.741,-1.96171
-0.803,-0.700194
-1.451,-1.19508
1.482,1.53773
-0.489,-0.433975
1.296,1.36009
0.263,0.356716
-0.668,-0.693958
-0.464,-0.689243
1.073,0.95943
0.724,0.698772
-0.119,0.0433994
-0.098,-0.299815
-0.852,-0.902043
-0.054,-0.0552828
1.793,1.82167
0.663,0.640615
0.276,0.32303
-1.239,-1.23532
-0.916,-0.87567
